Date,Fundamental Long-Biased Equity,Fundamental Market Neutral Equity,Fundamental Credit,Structured Credit,Diversified Multi-Strategy,Opportunistic MS,Global Macro,Quantitative
9/1/1998,0.016095433,-0.04350248,,,-0.032897751,-0.025567143,,
10/1/1998,0.000410739,-0.071073023,,,-0.013488565,-0.008358833,,
11/1/1998,0.024482747,-0.056826147,,,0.023474723,0.023841915,,
12/1/1998,0.038405816,-0.047524503,,,0.012874166,0.011891181,,
1/1/1999,0.033248728,-0.02133838,,,0.017887324,0.028970076,,
2/1/1999,-0.009989741,0.02653761,,,0.007444744,-0.001427022,,
3/1/1999,0.06331775,-0.002687903,,,0.019782275,0.003157772,,
4/1/1999,0.054148935,-0.006221672,,,0.031351104,0.067753659,,
5/1/1999,-0.012695255,0.006634331,,,0.02696759,0.032590417,,
6/1/1999,0.059357996,-0.012675255,,,0.02837699,0.051237675,,
7/1/1999,0.014772634,0.023386796,,,0.016490371,-0.010860446,,
8/1/1999,0.007498866,0.032678379,,,0.009552898,-0.032371575,,
9/1/1999,0.011026094,0.024689811,,,0.011017767,0.012592619,,
10/1/1999,0.034464663,-0.004295717,,,0.008818574,0.004657432,,
11/1/1999,0.089204031,-0.028578478,,,0.024596463,0.033115006,,
12/1/1999,0.127769725,-0.004923655,,,0.027238527,0.02153458,,
1/1/2000,0.000933032,0.026437581,,,0.020349347,0.037694793,,
2/1/2000,0.068025572,-0.050033468,,,0.037565387,0.057803873,,
3/1/2000,-0.000263359,-0.005678786,,,0.021477538,0.01664208,,
4/1/2000,-0.055463816,0.049927412,,,0.015401063,0.012913036,,
5/1/2000,-0.016877424,0.049729618,,,0.011134613,0.001605317,,
6/1/2000,0.034953092,-0.047742315,0.022758921,,0.020416315,0.020758453,,
7/1/2000,0.005105762,0.029438204,0.003069571,,0.01331793,0.017067287,,
8/1/2000,0.044004065,-0.039918344,0.016123241,,0.011877795,0.023306884,,
9/1/2000,0.015677919,0.056047498,0.00424779,,0.016360286,0.018576348,,
10/1/2000,0.000363489,0.044129486,-0.009411342,,0.008940091,0.006649985,,
11/1/2000,-0.00684079,0.100321361,-0.020673639,,0.001113759,-4.50E-05,,
12/1/2000,0.028827408,0.001279614,-0.005003113,,0.011789819,0.019260575,,
1/1/2001,0.004697901,-0.030296308,0.031845148,,0.019649166,0.028490662,,
2/1/2001,0.000674888,0.074362922,0.014211652,,0.01439976,0.01990516,,
